@relation MarketData

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute class {HOLD,BUY,SELL}

@data
-1.419112,-1.472828,-1.50381,-1.428026,-0.826184,HOLD
-1.423532,-1.528887,-1.741432,-1.755445,-0.132959,HOLD
-1.755928,-1.79833,-1.944365,-1.983754,1.43687,HOLD
-1.979588,-1.988207,-2.15597,-1.961631,1.506679,HOLD
-1.956603,-1.888748,-1.862845,-1.881104,0.122659,HOLD
-1.878809,-1.983686,-2.077919,-2.146579,-0.008623,HOLD
-2.145786,-2.241375,-2.405733,-2.471344,0.800603,HOLD
-2.464037,-2.380618,-2.93041,-3.065124,1.484451,HOLD
-3.068715,-2.680803,-3.449884,-2.843894,3.451947,HOLD
-2.841519,-2.112982,-2.841085,-2.157198,2.525331,HOLD
-2.154626,-2.25765,-2.561835,-2.653637,1.230222,HOLD
-2.649684,-2.62384,-2.741353,-2.875751,0.823178,HOLD
-2.871576,-2.745904,-2.97117,-2.790799,0.308469,HOLD
-2.784057,-2.687132,-2.763901,-2.863363,0.460589,HOLD
-2.860084,-2.904134,-3.319798,-3.374845,2.478444,HOLD
-3.367518,-2.821854,-3.227872,-2.753633,3.302257,HOLD
-2.732783,-2.536135,-2.819404,-2.820886,3.443611,HOLD
-2.816766,-2.395084,-2.704929,-2.338606,1.611218,HOLD
-2.333201,-2.059636,-2.240959,-2.250999,1.052401,HOLD
-2.248334,-2.284775,-2.440423,-2.509395,0.53526,HOLD
-2.502935,-2.554219,-2.520208,-2.645673,-0.153103,HOLD
-2.637308,-2.610278,-2.549694,-2.555411,-0.232983,HOLD
-2.547136,-2.41588,-2.430016,-2.297015,-0.436158,HOLD
-2.321708,-2.355301,-2.201933,-2.244805,-1.521146,HOLD
-2.292535,-2.311901,-2.23749,-2.190825,-0.732064,HOLD
-2.189988,-2.004482,-2.08052,-1.932429,-0.192001,HOLD
-1.92301,-1.951136,-1.928754,-1.87137,0.789836,HOLD
-1.866432,-1.928531,-1.97732,-1.937738,0.845058,HOLD
-1.933619,-2.003578,-1.904472,-1.914731,0.287977,HOLD
-1.912402,-1.901406,-1.850703,-1.891723,0.141414,HOLD
-1.890301,-1.943902,-1.878455,-1.900572,0.438014,HOLD
-1.894721,-1.879706,-1.956506,-1.824469,0.962101,HOLD
-1.825767,-1.944806,-2.14036,-2.204984,1.397624,HOLD
-2.20148,-2.158191,-2.317275,-2.169587,2.114814,HOLD
-2.166119,-2.252225,-2.349363,-2.406745,1.21633,HOLD
-2.404807,-2.479173,-2.568773,-2.539483,2.119676,HOLD
-2.53476,-2.621128,-2.697124,-2.720891,1.282318,HOLD
-2.717755,-2.621128,-2.656364,-2.751863,1.426798,HOLD
-2.746928,-2.812812,-2.903526,-2.955394,1.790429,HOLD
-2.952023,-3.00088,-3.056159,-2.921767,2.123149,HOLD
-2.920198,-2.729628,-2.842819,-2.813807,2.381546,HOLD
-2.80881,-2.811908,-2.801192,-2.813807,1.931435,HOLD
-2.80881,-2.765795,-2.704062,-2.700538,0.726279,HOLD
-2.692118,-2.829087,-2.764768,-2.761597,0.229283,HOLD
-2.757536,-2.791112,-2.687584,-2.820886,0.030623,HOLD
-2.814998,-2.924026,-2.816802,-2.952739,0.778723,HOLD
-2.946719,-3.044281,-2.948622,-3.05185,-0.328146,HOLD
-3.031586,-3.03976,-2.898322,-2.948315,-1.063048,HOLD
-2.952023,-3.048801,-2.886181,-2.937696,-0.819933,HOLD
-2.934342,-3.065981,-2.837616,-2.952739,-0.741094,HOLD
-2.946719,-2.818237,-2.840218,-2.723546,0.304648,HOLD
-2.717755,-2.386043,-2.671107,-2.411169,1.777926,HOLD
-2.407459,-2.395084,-2.362372,-2.35011,0.859645,HOLD
-2.347345,-2.2468,-2.272179,-2.143039,-0.219438,HOLD
-2.140482,-2.094899,-2.02415,-2.107643,-0.163522,HOLD
-2.101585,-2.167233,-2.251366,-2.316483,0.606458,HOLD
-2.316404,-2.288392,-2.279117,-2.323563,0.900975,HOLD
-2.323476,-2.425826,-2.56357,-2.499661,1.159371,HOLD
-2.495863,-2.172658,-2.388389,-2.13773,0.512685,HOLD
-2.138714,-1.590371,-2.025885,-1.603239,0.55853,HOLD
-1.597686,-1.662704,-1.685929,-1.5997,0.023677,HOLD
-1.595918,-1.436661,-1.499473,-1.584656,0.424122,HOLD
-1.57647,-1.688021,-1.680725,-1.718279,1.346223,HOLD
-1.713495,-1.451128,-1.678991,-1.412982,0.922855,HOLD
-1.410272,-1.337202,-1.633895,-1.335994,2.27006,HOLD
-1.331593,-1.245881,-1.316487,-1.305907,0.460936,HOLD
-1.30242,-1.398686,-1.562781,-1.617398,0.146971,HOLD
-1.615367,-1.70068,-1.7952,-1.857211,-0.034324,HOLD
-1.85494,-1.93034,-1.868048,-1.937738,-0.09024,HOLD
-1.933619,-1.853485,-1.821217,-1.909421,-0.129139,HOLD
-1.902677,-1.95204,-1.82035,-1.880219,-0.626483,HOLD
-1.880577,-1.817318,-1.785661,-1.844822,-1.231492,HOLD
-1.839911,-1.961081,-1.928754,-2.041274,-1.0047,HOLD
-2.033514,-2.158191,-2.261772,-2.143924,-0.426086,HOLD
-2.140482,-2.133778,-2.332886,-2.323563,1.041287,HOLD
-2.317288,-2.194358,-2.200199,-2.153658,0.409188,HOLD
-2.154626,-2.111174,-2.038026,-2.074016,0.048335,HOLD
-2.071527,-2.071391,-1.980788,-2.02623,-0.447619,HOLD
-2.02379,-2.133778,-2.09006,-2.146579,0.007353,HOLD
-2.14225,-2.176275,-2.124749,-2.24569,-0.025988,HOLD
-2.241262,-2.016236,-2.159439,-1.966056,0.058755,HOLD
-1.956603,-2.064157,-2.150766,-2.138615,0.638063,HOLD
-2.139598,-2.178083,-2.096131,-2.194365,-0.111426,HOLD
-2.183799,-2.27935,-2.442157,-2.521784,0.162947,HOLD
-2.513543,-2.402318,-2.457767,-2.321793,0.028539,HOLD
-2.317288,-2.414976,-2.353699,-2.340376,0.208097,HOLD
-2.336737,-1.983686,-2.384052,-1.973135,2.774697,HOLD
-1.96898,-1.433044,-1.888862,-1.495279,3.110544,HOLD
-1.495139,-1.330873,-1.418821,-1.364312,2.569439,HOLD
-1.36165,-1.0768,-1.283532,-1.066979,0.942652,HOLD
-1.061963,-1.026167,-0.997345,-0.996186,0.004227,HOLD
-0.991241,-0.980054,-1.007751,-0.923622,-0.071486,HOLD
-0.920518,-0.995425,-0.893277,-0.971408,-0.107606,HOLD
-0.968256,-1.04425,-0.983469,-1.042201,-0.020084,HOLD
-1.038979,-0.964683,-0.951381,-0.882916,-0.877933,HOLD
-0.911678,-0.948408,-0.915825,-0.94663,-0.592794,HOLD
-0.947039,-0.9683,-0.882003,-0.960789,-0.463943,HOLD
-0.956764,-0.957449,-0.875932,-0.878492,-0.796663,HOLD
-0.876317,-0.973725,-1.002548,-0.997956,-0.291678,HOLD
-0.994777,-0.973725,-0.910621,-0.934241,-0.217702,HOLD
-0.931127,-0.944791,-0.858587,-0.861678,0.030623,HOLD
-0.858636,-0.930324,-0.820429,-0.866988,-0.444841,HOLD
-0.864824,-0.917666,-0.973062,-1.036892,-0.573692,HOLD
-1.034558,-0.965587,-1.009486,-0.927162,-0.198947,HOLD
-0.917866,-0.827249,-0.85772,-0.751948,-0.143031,HOLD
-0.752552,-0.766669,-0.79181,-0.874952,-0.085031,HOLD
-0.871012,-0.910433,-0.896745,-0.905924,-0.153797,HOLD
-0.903722,-0.961066,-0.933169,-0.94486,-0.293068,HOLD
-0.943503,-1.042442,-1.056317,-1.123614,-0.524374,HOLD
-1.115005,-1.183493,-1.226295,-1.201487,0.260887,HOLD
-1.19722,-1.25221,-1.281798,-1.203257,0.548458,HOLD
-1.196336,-1.254018,-1.211552,-1.16078,0.441487,HOLD
-1.159207,-1.042442,-1.125695,-1.003265,0.763094,HOLD
-1.000081,-1.027975,-1.006017,-1.088217,-0.004803,HOLD
-1.084948,-1.150038,-1.028565,-1.072289,-0.571261,HOLD
-1.069036,-1.009892,-0.980867,-1.003265,-0.643153,HOLD
-0.999197,-1.093075,-0.983469,-1.048396,-0.661561,HOLD
-1.046051,-1.116584,-0.982602,-1.045741,-0.676842,HOLD
-1.039863,-1.063238,-0.944443,-0.985567,-0.987682,HOLD
-0.941735,-1.042442,-1.01122,-1.104146,-1.348187,HOLD
-1.101745,-0.963779,-1.007751,-1.008575,-0.521596,HOLD
-1.004501,-1.069567,-0.993876,-1.081138,-1.027622,HOLD
-1.077876,-1.084034,-1.021627,-1.013884,-0.68101,HOLD
-1.008921,-1.058717,-0.962655,-0.967868,-0.560147,HOLD
-0.968256,-1.018933,-0.89848,-0.934241,-0.756375,HOLD
-0.931127,-0.953833,-0.844711,-0.858139,-0.870987,HOLD
-0.858636,-0.867032,-0.778802,-0.776726,-0.983167,HOLD
-0.772001,-0.73231,-0.683406,-0.659032,-0.767837,HOLD
-0.658845,-0.512596,-0.594948,-0.663457,-0.606686,HOLD
-0.658845,-0.650031,-0.712892,-0.583814,0.184827,HOLD
-0.581934,-0.561422,-0.523835,-0.567001,-0.047174,HOLD
-0.565138,-0.638276,-0.622699,-0.643988,-0.555632,HOLD
-0.642932,-0.673539,-0.620098,-0.610362,-0.635165,HOLD
-0.604919,-0.53068,-0.535976,-0.492667,-0.466374,HOLD
-0.488227,-0.546955,-0.511693,-0.499747,0.053198,HOLD
-0.499719,-0.30102,-0.477871,-0.551957,0.912436,HOLD
-0.549225,-0.451113,-0.516897,-0.443112,0.949598,HOLD
-0.439605,-0.438454,-0.646115,-0.636909,0.639452,HOLD
-0.634092,-0.716939,-0.752785,-0.806813,-0.193738,HOLD
-0.803826,-0.876074,-0.860322,-0.916543,-0.097186,HOLD
-0.913446,-0.959258,-0.84211,-0.886456,-0.547991,HOLD
-0.885157,-0.978245,-0.910621,-0.945745,-0.698375,HOLD
-0.937315,-0.991808,-0.865525,-0.933357,-0.894951,HOLD
-0.885157,-0.946599,-0.853384,-0.909464,-1.170713,HOLD
-0.907258,-0.97915,-0.846446,-0.902384,-0.768184,HOLD
-0.897533,-0.975533,-0.871596,-0.932472,-0.953993,HOLD
-0.927591,-0.85799,-0.841242,-0.797964,-0.26702,HOLD
-0.794102,-0.830865,-0.721564,-0.783805,-0.440673,HOLD
-0.779957,-0.876074,-0.742378,-0.819202,-0.767489,HOLD
-0.817087,-0.86432,-0.736307,-0.794424,-0.696639,HOLD
-0.79145,-0.614768,-0.701618,-0.589123,-0.568482,HOLD
-0.587238,-0.635564,-0.557657,-0.620096,-0.529584,HOLD
-0.613759,-0.384204,-0.526436,-0.373204,0.595344,HOLD
-0.368883,-0.417658,-0.407625,-0.387362,0.077857,HOLD
-0.384795,-0.472813,-0.437111,-0.443997,-0.029461,HOLD
